libname,RNase+,RNase-,sample_label
ANXA2,/tscc/projects/ps-yeolab5/hsher/circ_outputs/ANXA2_rar11.gtf,/tscc/projects/ps-yeolab5/hsher/circ_outputs/ANXA2_rz.gtf,ANXA2_rar11
DCP1A,/tscc/projects/ps-yeolab5/hsher/circ_outputs/DCP1A_rar11.gtf,/tscc/projects/ps-yeolab5/hsher/circ_outputs/DCP1A_rz.gtf,DCP1A_rar11
DDX19A,/tscc/projects/ps-yeolab5/hsher/circ_outputs/DDX19A_rar11.gtf,/tscc/projects/ps-yeolab5/hsher/circ_outputs/DDX19A_rz.gtf,DDX19A_rar11
DDX52,/tscc/projects/ps-yeolab5/hsher/circ_outputs/DDX52_rar11.gtf,/tscc/projects/ps-yeolab5/hsher/circ_outputs/DDX52_rz.gtf,DDX52_rar11
EIF3C,/tscc/projects/ps-yeolab5/hsher/circ_outputs/EIF3C_rar11.gtf,/tscc/projects/ps-yeolab5/hsher/circ_outputs/EIF3C_rz.gtf,EIF3C_rar11
G3BP2,/tscc/projects/ps-yeolab5/hsher/circ_outputs/G3BP2_rar11.gtf,/tscc/projects/ps-yeolab5/hsher/circ_outputs/G3BP2_rz.gtf,G3BP2_rar11
LARP4,/tscc/projects/ps-yeolab5/hsher/circ_outputs/LARP4_rar11.gtf,/tscc/projects/ps-yeolab5/hsher/circ_outputs/LARP4_rz.gtf,LARP4_rar11
LARP4B,/tscc/projects/ps-yeolab5/hsher/circ_outputs/LARP4B_rar11.gtf,/tscc/projects/ps-yeolab5/hsher/circ_outputs/LARP4B_rz.gtf,LARP4B_rar11
RBM17,/tscc/projects/ps-yeolab5/hsher/circ_outputs/RBM17_rar11.gtf,/tscc/projects/ps-yeolab5/hsher/circ_outputs/RBM17_rz.gtf,RBM17_rar11
RPS10,/tscc/projects/ps-yeolab5/hsher/circ_outputs/RPS10_rar11.gtf,/tscc/projects/ps-yeolab5/hsher/circ_outputs/RPS10_rz.gtf,RPS10_rar11
THOC1,/tscc/projects/ps-yeolab5/hsher/circ_outputs/THOC1_rar11.gtf,/tscc/projects/ps-yeolab5/hsher/circ_outputs/THOC1_rz.gtf,THOC1_rar11
U2AF2,/tscc/projects/ps-yeolab5/hsher/circ_outputs/U2AF2_rar11.gtf,/tscc/projects/ps-yeolab5/hsher/circ_outputs/U2AF2_rz.gtf,U2AF2_rar11
ZC3HAV1,/tscc/projects/ps-yeolab5/hsher/circ_outputs/ZC3HAV1_rar11.gtf,/tscc/projects/ps-yeolab5/hsher/circ_outputs/ZC3HAV1_rz.gtf,ZC3HAV1_rar11
siANXA2,/tscc/projects/ps-yeolab5/hsher/circ_outputs/siANXA2_rar11.gtf,/tscc/projects/ps-yeolab5/hsher/circ_outputs/siANXA2_rz.gtf,siANXA2_rar11
siDCP1A,/tscc/projects/ps-yeolab5/hsher/circ_outputs/siDCP1A_rar11.gtf,/tscc/projects/ps-yeolab5/hsher/circ_outputs/siDCP1A_rz.gtf,siDCP1A_rar11
siDDX19A,/tscc/projects/ps-yeolab5/hsher/circ_outputs/siDDX19A_rar11.gtf,/tscc/projects/ps-yeolab5/hsher/circ_outputs/siDDX19A_rz.gtf,siDDX19A_rar11
siDDX52,/tscc/projects/ps-yeolab5/hsher/circ_outputs/siDDX52_rar11.gtf,/tscc/projects/ps-yeolab5/hsher/circ_outputs/siDDX52_rz.gtf,siDDX52_rar11
siG3BP2,/tscc/projects/ps-yeolab5/hsher/circ_outputs/siG3BP2_rar11.gtf,/tscc/projects/ps-yeolab5/hsher/circ_outputs/siG3BP2_rz.gtf,siG3BP2_rar11
siLARP4,/tscc/projects/ps-yeolab5/hsher/circ_outputs/siLARP4_rar11.gtf,/tscc/projects/ps-yeolab5/hsher/circ_outputs/siLARP4_rz.gtf,siLARP4_rar11
siLARP4B,/tscc/projects/ps-yeolab5/hsher/circ_outputs/siLARP4B_rar11.gtf,/tscc/projects/ps-yeolab5/hsher/circ_outputs/siLARP4B_rz.gtf,siLARP4B_rar11
siNT,/tscc/projects/ps-yeolab5/hsher/circ_outputs/siNT_rar11.gtf,/tscc/projects/ps-yeolab5/hsher/circ_outputs/siNT_rz.gtf,siNT_rar11
siRBM15,/tscc/projects/ps-yeolab5/hsher/circ_outputs/siRBM15_rar11.gtf,/tscc/projects/ps-yeolab5/hsher/circ_outputs/siRBM15_rz.gtf,siRBM15_rar11
siRBM17,/tscc/projects/ps-yeolab5/hsher/circ_outputs/siRBM17_rar11.gtf,/tscc/projects/ps-yeolab5/hsher/circ_outputs/siRBM17_rz.gtf,siRBM17_rar11
siTHOC1,/tscc/projects/ps-yeolab5/hsher/circ_outputs/siTHOC1_rar11.gtf,/tscc/projects/ps-yeolab5/hsher/circ_outputs/siTHOC1_rz.gtf,siTHOC1_rar11
siTOB2,/tscc/projects/ps-yeolab5/hsher/circ_outputs/siTOB2_rar11.gtf,/tscc/projects/ps-yeolab5/hsher/circ_outputs/siTOB2_rz.gtf,siTOB2_rar11
siU2AF2,/tscc/projects/ps-yeolab5/hsher/circ_outputs/siU2AF2_rar11.gtf,/tscc/projects/ps-yeolab5/hsher/circ_outputs/siU2AF2_rz.gtf,siU2AF2_rar11
siZC3HAV1,/tscc/projects/ps-yeolab5/hsher/circ_outputs/siZC3HAV1_rar11.gtf,/tscc/projects/ps-yeolab5/hsher/circ_outputs/siZC3HAV1_rz.gtf,siZC3HAV1_rar11
EV,/tscc/projects/ps-yeolab5/hsher/circ_outputs/EV_rar11.gtf,/tscc/projects/ps-yeolab5/hsher/circ_outputs/EV_rz.gtf,EV_rar11
