,Sample,fastq1,fastq2,Rnase
0,U2AF2-STAMP-sort,/tscc/projects/ps-yeolab5/hsher/Tao_circSTAMP/fastq/U2AF2-STAMP-sort.1.fastq.gz,/tscc/projects/ps-yeolab5/hsher/Tao_circSTAMP/fastq/U2AF2-STAMP-sort.2.fastq.gz,False
1,HuR-50-R,/tscc/projects/ps-yeolab5/hsher/Tao_circSTAMP/fastq/HuR-50-R.1.fastq.gz,/tscc/projects/ps-yeolab5/hsher/Tao_circSTAMP/fastq/HuR-50-R.2.fastq.gz,True
2,APO-noD-R,/tscc/projects/ps-yeolab5/hsher/Tao_circSTAMP/fastq/APO-noD-R.1.fastq.gz,/tscc/projects/ps-yeolab5/hsher/Tao_circSTAMP/fastq/APO-noD-R.2.fastq.gz,True
3,IGF2BP2-STAMP-sort,/tscc/projects/ps-yeolab5/hsher/Tao_circSTAMP/fastq/IGF2BP2-STAMP-sort.1.fastq.gz,/tscc/projects/ps-yeolab5/hsher/Tao_circSTAMP/fastq/IGF2BP2-STAMP-sort.2.fastq.gz,False
4,HuR-1-R,/tscc/projects/ps-yeolab5/hsher/Tao_circSTAMP/fastq/HuR-1-R.1.fastq.gz,/tscc/projects/ps-yeolab5/hsher/Tao_circSTAMP/fastq/HuR-1-R.2.fastq.gz,True
5,HuR-1-A,/tscc/projects/ps-yeolab5/hsher/Tao_circSTAMP/fastq/HuR-1-A.1.fastq.gz,/tscc/projects/ps-yeolab5/hsher/Tao_circSTAMP/fastq/HuR-1-A.2.fastq.gz,False
6,APO-50-A,/tscc/projects/ps-yeolab5/hsher/Tao_circSTAMP/fastq/APO-50-A.1.fastq.gz,/tscc/projects/ps-yeolab5/hsher/Tao_circSTAMP/fastq/APO-50-A.2.fastq.gz,False
7,PP_Input1,/tscc/projects/ps-yeolab5/hsher/Tao_circSTAMP/fastq/PP_Input1.1.fastq.gz,/tscc/projects/ps-yeolab5/hsher/Tao_circSTAMP/fastq/PP_Input1.2.fastq.gz,False
8,HuR-noD-R,/tscc/projects/ps-yeolab5/hsher/Tao_circSTAMP/fastq/HuR-noD-R.1.fastq.gz,/tscc/projects/ps-yeolab5/hsher/Tao_circSTAMP/fastq/HuR-noD-R.2.fastq.gz,True
9,RBM15-STAMP,/tscc/projects/ps-yeolab5/hsher/Tao_circSTAMP/fastq/RBM15-STAMP.1.fastq.gz,/tscc/projects/ps-yeolab5/hsher/Tao_circSTAMP/fastq/RBM15-STAMP.2.fastq.gz,False
10,U2AF2-STAMP,/tscc/projects/ps-yeolab5/hsher/Tao_circSTAMP/fastq/U2AF2-STAMP.1.fastq.gz,/tscc/projects/ps-yeolab5/hsher/Tao_circSTAMP/fastq/U2AF2-STAMP.2.fastq.gz,False
11,APO-1-A,/tscc/projects/ps-yeolab5/hsher/Tao_circSTAMP/fastq/APO-1-A.1.fastq.gz,/tscc/projects/ps-yeolab5/hsher/Tao_circSTAMP/fastq/APO-1-A.2.fastq.gz,False
12,APO-50-R,/tscc/projects/ps-yeolab5/hsher/Tao_circSTAMP/fastq/APO-50-R.1.fastq.gz,/tscc/projects/ps-yeolab5/hsher/Tao_circSTAMP/fastq/APO-50-R.2.fastq.gz,True
13,HuR-noD-A,/tscc/projects/ps-yeolab5/hsher/Tao_circSTAMP/fastq/HuR-noD-A.1.fastq.gz,/tscc/projects/ps-yeolab5/hsher/Tao_circSTAMP/fastq/HuR-noD-A.2.fastq.gz,False
14,APO-noD-A,/tscc/projects/ps-yeolab5/hsher/Tao_circSTAMP/fastq/APO-noD-A.1.fastq.gz,/tscc/projects/ps-yeolab5/hsher/Tao_circSTAMP/fastq/APO-noD-A.2.fastq.gz,False
15,PP_Input2,/tscc/projects/ps-yeolab5/hsher/Tao_circSTAMP/fastq/PP_Input2.1.fastq.gz,/tscc/projects/ps-yeolab5/hsher/Tao_circSTAMP/fastq/PP_Input2.2.fastq.gz,False
16,HuR-50-A,/tscc/projects/ps-yeolab5/hsher/Tao_circSTAMP/fastq/HuR-50-A.1.fastq.gz,/tscc/projects/ps-yeolab5/hsher/Tao_circSTAMP/fastq/HuR-50-A.2.fastq.gz,False
17,APO-1-R,/tscc/projects/ps-yeolab5/hsher/Tao_circSTAMP/fastq/APO-1-R.1.fastq.gz,/tscc/projects/ps-yeolab5/hsher/Tao_circSTAMP/fastq/APO-1-R.2.fastq.gz,True
