,fastq1,fastq2,Sample,Rnase
0,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/TNBC_synapse/igm-storage.ucsd.edu/231116_LH00444_0008_A22F7CHLT3/55_tot_rar11_S1_L007_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/TNBC_synapse/igm-storage.ucsd.edu/231116_LH00444_0008_A22F7CHLT3/55_tot_rar11_S1_L007_R2_001.fastq.gz,55_tot_rar11,True
1,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/TNBC_synapse/igm-storage.ucsd.edu/231116_LH00444_0008_A22F7CHLT3/55_cyt_rar11_S3_L007_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/TNBC_synapse/igm-storage.ucsd.edu/231116_LH00444_0008_A22F7CHLT3/55_cyt_rar11_S3_L007_R2_001.fastq.gz,55_cyt_rar11,True
2,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/TNBC_synapse/igm-storage.ucsd.edu/231116_LH00444_0008_A22F7CHLT3/55_nuc_rar11_S4_L007_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/TNBC_synapse/igm-storage.ucsd.edu/231116_LH00444_0008_A22F7CHLT3/55_nuc_rar11_S4_L007_R2_001.fastq.gz,55_nuc_rar11,True
3,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/TNBC_synapse/igm-storage.ucsd.edu/231116_LH00444_0008_A22F7CHLT3/55_syn_rar11_S2_L007_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/TNBC_synapse/igm-storage.ucsd.edu/231116_LH00444_0008_A22F7CHLT3/55_syn_rar11_S2_L007_R2_001.fastq.gz,55_syn_rar11,True
4,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/TNBC_synapse/igm-storage.ucsd.edu/231116_LH00444_0008_A22F7CHLT3/56_tot_rar11_S5_L007_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/TNBC_synapse/igm-storage.ucsd.edu/231116_LH00444_0008_A22F7CHLT3/56_tot_rar11_S5_L007_R2_001.fastq.gz,56_tot_rar11,True
5,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/TNBC_synapse/igm-storage.ucsd.edu/231116_LH00444_0008_A22F7CHLT3/56_nuc_rar11_S8_L007_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/TNBC_synapse/igm-storage.ucsd.edu/231116_LH00444_0008_A22F7CHLT3/56_nuc_rar11_S8_L007_R2_001.fastq.gz,56_nuc_rar11,True
6,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/TNBC_synapse/igm-storage.ucsd.edu/231116_LH00444_0008_A22F7CHLT3/56_cyt_rar11_S7_L007_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/TNBC_synapse/igm-storage.ucsd.edu/231116_LH00444_0008_A22F7CHLT3/56_cyt_rar11_S7_L007_R2_001.fastq.gz,56_cyt_rar11,True
7,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/TNBC_synapse/igm-storage.ucsd.edu/231116_LH00444_0008_A22F7CHLT3/56_syn_rar11_S6_L007_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/TNBC_synapse/igm-storage.ucsd.edu/231116_LH00444_0008_A22F7CHLT3/56_syn_rar11_S6_L007_R2_001.fastq.gz,56_syn_rar11,True
8,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/TNBC_synapse/igm-storage.ucsd.edu/231116_LH00444_0008_A22F7CHLT3/57_tot_rar11_S9_L007_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/TNBC_synapse/igm-storage.ucsd.edu/231116_LH00444_0008_A22F7CHLT3/57_tot_rar11_S9_L007_R2_001.fastq.gz,57_tot_rar11,True
9,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/TNBC_synapse/igm-storage.ucsd.edu/231116_LH00444_0008_A22F7CHLT3/57_nuc_rar11_S12_L007_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/TNBC_synapse/igm-storage.ucsd.edu/231116_LH00444_0008_A22F7CHLT3/57_nuc_rar11_S12_L007_R2_001.fastq.gz,57_nuc_rar11,True
