,fastq1,fastq2,Sample,Rnase
4,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/circapp/TNBCmsSerum/20240129_GN_KevR_TY_JN/MS_TNBC_rep4_L1_ds.663b0d36e0254bba97802fc4e4e68e59/MS_TNBC_rep4_S24_L001_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/circapp/TNBCmsSerum/20240129_GN_KevR_TY_JN/MS_TNBC_rep4_L1_ds.663b0d36e0254bba97802fc4e4e68e59/MS_TNBC_rep4_S24_L001_R2_001.fastq.gz,MS_TNBC_rep4,True
5,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/circapp/TNBCmsSerum/20240129_GN_KevR_TY_JN/MS_TNBC_rep2_L1_ds.7b761086e2ea4165a1b4612a6f246bad/MS_TNBC_rep2_S22_L001_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/circapp/TNBCmsSerum/20240129_GN_KevR_TY_JN/MS_TNBC_rep2_L1_ds.7b761086e2ea4165a1b4612a6f246bad/MS_TNBC_rep2_S22_L001_R2_001.fastq.gz,MS_TNBC_rep2,True
6,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/circapp/TNBCmsSerum/20240129_GN_KevR_TY_JN/MS_Ctrl_rep3_L1_ds.031423f2e2b94635bf0ab661a7143436/MS_Ctrl_rep3_S19_L001_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/circapp/TNBCmsSerum/20240129_GN_KevR_TY_JN/MS_Ctrl_rep3_L1_ds.031423f2e2b94635bf0ab661a7143436/MS_Ctrl_rep3_S19_L001_R2_001.fastq.gz,MS_Ctrl_rep3,True
7,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/circapp/TNBCmsSerum/20240129_GN_KevR_TY_JN/MS_TNBC_rep2_L1_ds.a2238dcd2f39439084d475dd96d7723f/MS_TNBC_rep2_S22_L001_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/circapp/TNBCmsSerum/20240129_GN_KevR_TY_JN/MS_TNBC_rep2_L1_ds.a2238dcd2f39439084d475dd96d7723f/MS_TNBC_rep2_S22_L001_R2_001.fastq.gz,MS_TNBC_rep2,True
8,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/circapp/TNBCmsSerum/20240129_GN_KevR_TY_JN/MS_Ctrl_rep4_L1_ds.b2437f3afe8c47369ab41b59afe28f3e/MS_Ctrl_rep4_S20_L001_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/circapp/TNBCmsSerum/20240129_GN_KevR_TY_JN/MS_Ctrl_rep4_L1_ds.b2437f3afe8c47369ab41b59afe28f3e/MS_Ctrl_rep4_S20_L001_R2_001.fastq.gz,MS_Ctrl_rep4,True
9,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/circapp/TNBCmsSerum/20240129_GN_KevR_TY_JN/MS_Ctrl_rep3_L1_ds.eea13bf5935b4d09815cc9de4d2d2743/MS_Ctrl_rep3_S19_L001_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/circapp/TNBCmsSerum/20240129_GN_KevR_TY_JN/MS_Ctrl_rep3_L1_ds.eea13bf5935b4d09815cc9de4d2d2743/MS_Ctrl_rep3_S19_L001_R2_001.fastq.gz,MS_Ctrl_rep3,True
10,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/circapp/TNBCmsSerum/20240129_GN_KevR_TY_JN/MS_Ctrl_rep2_L1_ds.004d96cb9b6f4baeb98196b1a24e558c/MS_Ctrl_rep2_S18_L001_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/circapp/TNBCmsSerum/20240129_GN_KevR_TY_JN/MS_Ctrl_rep2_L1_ds.004d96cb9b6f4baeb98196b1a24e558c/MS_Ctrl_rep2_S18_L001_R2_001.fastq.gz,MS_Ctrl_rep2,True
11,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/circapp/TNBCmsSerum/20240129_GN_KevR_TY_JN/MS_TNBC_rep4_L1_ds.2cbe8034bfd444aa84e784e32caed84a/MS_TNBC_rep4_S24_L001_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/circapp/TNBCmsSerum/20240129_GN_KevR_TY_JN/MS_TNBC_rep4_L1_ds.2cbe8034bfd444aa84e784e32caed84a/MS_TNBC_rep4_S24_L001_R2_001.fastq.gz,MS_TNBC_rep4,True
12,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/circapp/TNBCmsSerum/20240129_GN_KevR_TY_JN/MS_Ctrl_rep1_L1_ds.bb0cc2d8811c416da6197ed13f3da1c5/MS_Ctrl_rep1_S17_L001_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/circapp/TNBCmsSerum/20240129_GN_KevR_TY_JN/MS_Ctrl_rep1_L1_ds.bb0cc2d8811c416da6197ed13f3da1c5/MS_Ctrl_rep1_S17_L001_R2_001.fastq.gz,MS_Ctrl_rep1,True
13,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/circapp/TNBCmsSerum/20240129_GN_KevR_TY_JN/MS_Ctrl_rep2_L1_ds.26d249cd0b834348b50417aa544ddc6c/MS_Ctrl_rep2_S18_L001_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/circapp/TNBCmsSerum/20240129_GN_KevR_TY_JN/MS_Ctrl_rep2_L1_ds.26d249cd0b834348b50417aa544ddc6c/MS_Ctrl_rep2_S18_L001_R2_001.fastq.gz,MS_Ctrl_rep2,True
