,fastq1,fastq2,Sample,Rnase
0,/tscc/nfs/home/mgosztyl/seqdata/20240418_seq_results/igm-storage.ucsd.edu/240415_LH00444_0092_A227CY2LT4/FASTQ/K562EV_2_S71_L006_R1_001.fastq.gz,/tscc/nfs/home/mgosztyl/seqdata/20240418_seq_results/igm-storage.ucsd.edu/240415_LH00444_0092_A227CY2LT4/FASTQ/K562EV_2_S71_L006_R2_001.fastq.gz,K562EV_2,True
1,/tscc/nfs/home/mgosztyl/seqdata/20240418_seq_results/igm-storage.ucsd.edu/240415_LH00444_0092_A227CY2LT4/FASTQ/HEKEV_1_S66_L006_R1_001.fastq.gz,/tscc/nfs/home/mgosztyl/seqdata/20240418_seq_results/igm-storage.ucsd.edu/240415_LH00444_0092_A227CY2LT4/FASTQ/HEKEV_1_S66_L006_R2_001.fastq.gz,HEKEV_1,True
2,/tscc/nfs/home/mgosztyl/seqdata/20240418_seq_results/igm-storage.ucsd.edu/240415_LH00444_0092_A227CY2LT4/FASTQ/HepG2EV_2_S69_L006_R1_001.fastq.gz,/tscc/nfs/home/mgosztyl/seqdata/20240418_seq_results/igm-storage.ucsd.edu/240415_LH00444_0092_A227CY2LT4/FASTQ/HepG2EV_2_S69_L006_R2_001.fastq.gz,HepG2EV_2,True
3,/tscc/nfs/home/mgosztyl/seqdata/20240418_seq_results/igm-storage.ucsd.edu/240415_LH00444_0092_A227CY2LT4/FASTQ/HepG2EV_1_S68_L006_R1_001.fastq.gz,/tscc/nfs/home/mgosztyl/seqdata/20240418_seq_results/igm-storage.ucsd.edu/240415_LH00444_0092_A227CY2LT4/FASTQ/HepG2EV_1_S68_L006_R2_001.fastq.gz,HepG2EV_1,True
4,/tscc/nfs/home/mgosztyl/seqdata/20240418_seq_results/igm-storage.ucsd.edu/240415_LH00444_0092_A227CY2LT4/FASTQ/3845_EV_S63_L006_R1_001.fastq.gz,/tscc/nfs/home/mgosztyl/seqdata/20240418_seq_results/igm-storage.ucsd.edu/240415_LH00444_0092_A227CY2LT4/FASTQ/3845_EV_S63_L006_R2_001.fastq.gz,3845_EV,True
5,/tscc/nfs/home/mgosztyl/seqdata/20240418_seq_results/igm-storage.ucsd.edu/240415_LH00444_0092_A227CY2LT4/FASTQ/K562EV_1_S70_L006_R1_001.fastq.gz,/tscc/nfs/home/mgosztyl/seqdata/20240418_seq_results/igm-storage.ucsd.edu/240415_LH00444_0092_A227CY2LT4/FASTQ/K562EV_1_S70_L006_R2_001.fastq.gz,K562EV_1,True
6,/tscc/nfs/home/mgosztyl/seqdata/20240418_seq_results/igm-storage.ucsd.edu/240415_LH00444_0092_A227CY2LT4/FASTQ/HEKEV_2_S67_L006_R1_001.fastq.gz,/tscc/nfs/home/mgosztyl/seqdata/20240418_seq_results/igm-storage.ucsd.edu/240415_LH00444_0092_A227CY2LT4/FASTQ/HEKEV_2_S67_L006_R2_001.fastq.gz,HEKEV_2,True
7,/tscc/nfs/home/mgosztyl/seqdata/20240418_seq_results/igm-storage.ucsd.edu/240415_LH00444_0092_A227CY2LT4/FASTQ/3779_EV_S65_L006_R1_001.fastq.gz,/tscc/nfs/home/mgosztyl/seqdata/20240418_seq_results/igm-storage.ucsd.edu/240415_LH00444_0092_A227CY2LT4/FASTQ/3779_EV_S65_L006_R2_001.fastq.gz,3779_EV,True
8,/tscc/nfs/home/mgosztyl/seqdata/20240418_seq_results/igm-storage.ucsd.edu/240415_LH00444_0092_A227CY2LT4/FASTQ/3833_EV_S64_L006_R1_001.fastq.gz,/tscc/nfs/home/mgosztyl/seqdata/20240418_seq_results/igm-storage.ucsd.edu/240415_LH00444_0092_A227CY2LT4/FASTQ/3833_EV_S64_L006_R2_001.fastq.gz,3833_EV,True
9,/tscc/nfs/home/mgosztyl/seqdata/20240418_seq_results/igm-storage.ucsd.edu/240415_LH00444_0092_A227CY2LT4/FASTQ/ctrl_S62_L006_R1_001.fastq.gz,/tscc/nfs/home/mgosztyl/seqdata/20240418_seq_results/igm-storage.ucsd.edu/240415_LH00444_0092_A227CY2LT4/FASTQ/ctrl_S62_L006_R2_001.fastq.gz,ctrl,True
