,Sample,fastq1,fastq2,Rnase
3,RCA_rar11,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/RCA_rar11_S14_L004_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/RCA_rar11_S14_L004_R2_001.fastq.gz,True
9,RBM17_rar11,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/RBM17_rar11_S6_L004_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/RBM17_rar11_S6_L004_R2_001.fastq.gz,True
10,siZC3HAV1_rar11,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siZC3HAV1_rar11_S27_L004_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siZC3HAV1_rar11_S27_L004_R2_001.fastq.gz,True
12,THOC1_rar11,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/THOC1_rar11_S1_L004_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/THOC1_rar11_S1_L004_R2_001.fastq.gz,True
13,siANXA2_rar11,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siANXA2_rar11_S19_L004_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siANXA2_rar11_S19_L004_R2_001.fastq.gz,True
14,siRBM17_rar11,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siRBM17_rar11_S21_L004_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siRBM17_rar11_S21_L004_R2_001.fastq.gz,True
15,G3BP2_rar11,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/G3BP2_rar11_S9_L004_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/G3BP2_rar11_S9_L004_R2_001.fastq.gz,True
18,siTOB2_rar11,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siTOB2_rar11_S25_L004_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siTOB2_rar11_S25_L004_R2_001.fastq.gz,True
20,DDX19A_rar11,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/DDX19A_rar11_S10_L004_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/DDX19A_rar11_S10_L004_R2_001.fastq.gz,True
21,siTHOC1_rar11,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siTHOC1_rar11_S15_L004_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siTHOC1_rar11_S15_L004_R2_001.fastq.gz,True
23,DDX52_rar11,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/DDX52_rar11_S7_L004_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/DDX52_rar11_S7_L004_R2_001.fastq.gz,True
24,siLARP4B_rar11,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siLARP4B_rar11_S16_L004_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siLARP4B_rar11_S16_L004_R2_001.fastq.gz,True
25,siLARP4_rar11,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siLARP4_rar11_S18_L004_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siLARP4_rar11_S18_L004_R2_001.fastq.gz,True
27,siG3BP2_rar11,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siG3BP2_rar11_S24_L004_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siG3BP2_rar11_S24_L004_R2_001.fastq.gz,True
32,U2AF2_rar11,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/U2AF2_rar11_S8_L004_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/U2AF2_rar11_S8_L004_R2_001.fastq.gz,True
33,RPS10_rar11,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/RPS10_rar11_S12_L004_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/RPS10_rar11_S12_L004_R2_001.fastq.gz,True
35,siNT_rar11,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siNT_rar11_S28_L004_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siNT_rar11_S28_L004_R2_001.fastq.gz,True
38,LARP4_rar11,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/LARP4_rar11_S4_L004_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/LARP4_rar11_S4_L004_R2_001.fastq.gz,True
39,siU2AF2_rar11,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siU2AF2_rar11_S23_L004_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siU2AF2_rar11_S23_L004_R2_001.fastq.gz,True
41,DCP1A_rar11,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/DCP1A_rar11_S3_L004_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/DCP1A_rar11_S3_L004_R2_001.fastq.gz,True
45,EIF3C_rar11,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/EIF3C_rar11_S13_L004_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/EIF3C_rar11_S13_L004_R2_001.fastq.gz,True
