,fastq1,fastq2,Sample,Rnase
0,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/oe_rar11_redo/igm-storage.ucsd.edu/230620_A01535_0346_AHCH7NDSX7/G3BP2_S84_L002_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/oe_rar11_redo/igm-storage.ucsd.edu/230620_A01535_0346_AHCH7NDSX7/G3BP2_S84_L002_R2_001.fastq.gz,G3BP2,True
1,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/oe_rar11_redo/igm-storage.ucsd.edu/230620_A01535_0346_AHCH7NDSX7/EV_S90_L002_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/oe_rar11_redo/igm-storage.ucsd.edu/230620_A01535_0346_AHCH7NDSX7/EV_S90_L002_R2_001.fastq.gz,EV,True
2,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/oe_rar11_redo/igm-storage.ucsd.edu/230620_A01535_0346_AHCH7NDSX7/U2AF2_S83_L002_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/oe_rar11_redo/igm-storage.ucsd.edu/230620_A01535_0346_AHCH7NDSX7/U2AF2_S83_L002_R2_001.fastq.gz,U2AF2,True
3,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/oe_rar11_redo/igm-storage.ucsd.edu/230620_A01535_0346_AHCH7NDSX7/THOC1_S75_L002_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/oe_rar11_redo/igm-storage.ucsd.edu/230620_A01535_0346_AHCH7NDSX7/THOC1_S75_L002_R2_001.fastq.gz,THOC1,True
4,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/oe_rar11_redo/igm-storage.ucsd.edu/230620_A01535_0346_AHCH7NDSX7/DDX52_S82_L002_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/oe_rar11_redo/igm-storage.ucsd.edu/230620_A01535_0346_AHCH7NDSX7/DDX52_S82_L002_R2_001.fastq.gz,DDX52,True
5,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/oe_rar11_redo/igm-storage.ucsd.edu/230620_A01535_0346_AHCH7NDSX7/RPS10_S88_L002_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/oe_rar11_redo/igm-storage.ucsd.edu/230620_A01535_0346_AHCH7NDSX7/RPS10_S88_L002_R2_001.fastq.gz,RPS10,True
6,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/oe_rar11_redo/igm-storage.ucsd.edu/230620_A01535_0346_AHCH7NDSX7/LARP4_S78_L002_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/oe_rar11_redo/igm-storage.ucsd.edu/230620_A01535_0346_AHCH7NDSX7/LARP4_S78_L002_R2_001.fastq.gz,LARP4,True
7,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/oe_rar11_redo/igm-storage.ucsd.edu/230620_A01535_0346_AHCH7NDSX7/RBM15_S80_L002_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/oe_rar11_redo/igm-storage.ucsd.edu/230620_A01535_0346_AHCH7NDSX7/RBM15_S80_L002_R2_001.fastq.gz,RBM15,True
8,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/oe_rar11_redo/igm-storage.ucsd.edu/230620_A01535_0346_AHCH7NDSX7/ANXA2_S79_L002_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/oe_rar11_redo/igm-storage.ucsd.edu/230620_A01535_0346_AHCH7NDSX7/ANXA2_S79_L002_R2_001.fastq.gz,ANXA2,True
9,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/oe_rar11_redo/igm-storage.ucsd.edu/230620_A01535_0346_AHCH7NDSX7/DDX19A_S86_L002_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/oe_rar11_redo/igm-storage.ucsd.edu/230620_A01535_0346_AHCH7NDSX7/DDX19A_S86_L002_R2_001.fastq.gz,DDX19A,True
10,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/oe_rar11_redo/igm-storage.ucsd.edu/230620_A01535_0346_AHCH7NDSX7/ZC3HAV1_S87_L002_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/oe_rar11_redo/igm-storage.ucsd.edu/230620_A01535_0346_AHCH7NDSX7/ZC3HAV1_S87_L002_R2_001.fastq.gz,ZC3HAV1,True
11,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/oe_rar11_redo/igm-storage.ucsd.edu/230620_A01535_0346_AHCH7NDSX7/DCP1A_S77_L002_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/oe_rar11_redo/igm-storage.ucsd.edu/230620_A01535_0346_AHCH7NDSX7/DCP1A_S77_L002_R2_001.fastq.gz,DCP1A,True
12,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/oe_rar11_redo/igm-storage.ucsd.edu/230620_A01535_0346_AHCH7NDSX7/LARP4B_S76_L002_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/oe_rar11_redo/igm-storage.ucsd.edu/230620_A01535_0346_AHCH7NDSX7/LARP4B_S76_L002_R2_001.fastq.gz,LARP4B,True
13,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/oe_rar11_redo/igm-storage.ucsd.edu/230620_A01535_0346_AHCH7NDSX7/RBM17_S81_L002_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/oe_rar11_redo/igm-storage.ucsd.edu/230620_A01535_0346_AHCH7NDSX7/RBM17_S81_L002_R2_001.fastq.gz,RBM17,True
14,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/oe_rar11_redo/igm-storage.ucsd.edu/230620_A01535_0346_AHCH7NDSX7/TOB2_S85_L002_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/oe_rar11_redo/igm-storage.ucsd.edu/230620_A01535_0346_AHCH7NDSX7/TOB2_S85_L002_R2_001.fastq.gz,TOB2,True
15,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/oe_rar11_redo/igm-storage.ucsd.edu/230620_A01535_0346_AHCH7NDSX7/EIF3C_S89_L002_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rbpcandidate/oe_rar11_redo/igm-storage.ucsd.edu/230620_A01535_0346_AHCH7NDSX7/EIF3C_S89_L002_R2_001.fastq.gz,EIF3C,True
