,Sample,fastq1,fastq2,Rnase
0,HEK_JC_rar,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/benchmarking02/igm-storage.ucsd.edu/221130_A01535_0229_BHKMGWDSX5/HEK_JC_rar_S7_L004_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/benchmarking02/igm-storage.ucsd.edu/221130_A01535_0229_BHKMGWDSX5/HEK_JC_rar_S7_L004_R2_001.fastq.gz,True
1,LIB2-YFP-high,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/benchmarking02/igm-storage.ucsd.edu/221130_A01535_0229_BHKMGWDSX5/LIB2-YFP-high_S21_L001_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/benchmarking02/igm-storage.ucsd.edu/221130_A01535_0229_BHKMGWDSX5/LIB2-YFP-high_S21_L001_R2_001.fastq.gz,True
2,HEK_rar,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/benchmarking02/igm-storage.ucsd.edu/221130_A01535_0229_BHKMGWDSX5/HEK_rar_S6_L004_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/benchmarking02/igm-storage.ucsd.edu/221130_A01535_0229_BHKMGWDSX5/HEK_rar_S6_L004_R2_001.fastq.gz,True
3,LIB2-T6-2,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/benchmarking02/igm-storage.ucsd.edu/221130_A01535_0229_BHKMGWDSX5/LIB2-T6-2_S28_L001_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/benchmarking02/igm-storage.ucsd.edu/221130_A01535_0229_BHKMGWDSX5/LIB2-T6-2_S28_L001_R2_001.fastq.gz,True
4,ZNF800_IP1,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/benchmarking02/igm-storage.ucsd.edu/221130_A01535_0229_BHKMGWDSX5/ZNF800_IP1_S15_L004_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/benchmarking02/igm-storage.ucsd.edu/221130_A01535_0229_BHKMGWDSX5/ZNF800_IP1_S15_L004_R2_001.fastq.gz,True
5,SNRP_IP2,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/benchmarking02/igm-storage.ucsd.edu/221130_A01535_0229_BHKMGWDSX5/SNRP_IP2_S38_L004_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/benchmarking02/igm-storage.ucsd.edu/221130_A01535_0229_BHKMGWDSX5/SNRP_IP2_S38_L004_R2_001.fastq.gz,True
6,TF3C4_IP1,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/benchmarking02/igm-storage.ucsd.edu/221130_A01535_0229_BHKMGWDSX5/TF3C4_IP1_S17_L004_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/benchmarking02/igm-storage.ucsd.edu/221130_A01535_0229_BHKMGWDSX5/TF3C4_IP1_S17_L004_R2_001.fastq.gz,True
8,PHF7_IP2,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/benchmarking02/igm-storage.ucsd.edu/221130_A01535_0229_BHKMGWDSX5/PHF7_IP2_S40_L004_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/benchmarking02/igm-storage.ucsd.edu/221130_A01535_0229_BHKMGWDSX5/PHF7_IP2_S40_L004_R2_001.fastq.gz,True
9,OligoCLIP_Multiplex_1016_Rep2,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/benchmarking02/igm-storage.ucsd.edu/221130_A01535_0229_BHKMGWDSX5/OligoCLIP_Multiplex_1016_Rep2_S42_L004_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/benchmarking02/igm-storage.ucsd.edu/221130_A01535_0229_BHKMGWDSX5/OligoCLIP_Multiplex_1016_Rep2_S42_L004_R2_001.fastq.gz,True
10,CTCF_IP2,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/benchmarking02/igm-storage.ucsd.edu/221130_A01535_0229_BHKMGWDSX5/CTCF_IP2_S14_L004_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/benchmarking02/igm-storage.ucsd.edu/221130_A01535_0229_BHKMGWDSX5/CTCF_IP2_S14_L004_R2_001.fastq.gz,True
