,Sample,fastq1,fastq2,Rnase
0,HEK_rep1_rar11,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/circseq_bm_rar11_nxt_L001_ds.7c114f7db21b4a8cabb91f1a6652d123/circseq-bm-rar11-nxt_S4_L001_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/circseq_bm_rar11_nxt_L001_ds.7c114f7db21b4a8cabb91f1a6652d123/circseq-bm-rar11-nxt_S4_L001_R2_001.fastq.gz,True
15,HEK_rep2_rar11,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/benchmarking02/igm-storage.ucsd.edu/221130_A01535_0229_BHKMGWDSX5/HEK_rar11_S4_L004_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/benchmarking02/igm-storage.ucsd.edu/221130_A01535_0229_BHKMGWDSX5/HEK_rar11_S4_L004_R2_001.fastq.gz,True
0,HepG2_rep1_rar11,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rar_celllines/batch2/igm-storage.ucsd.edu/20230922_LH00320_0040_A22F25LLT3/HepG2_rep1_rar11_S5_L004_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rar_celllines/batch2/igm-storage.ucsd.edu/20230922_LH00320_0040_A22F25LLT3/HepG2_rep1_rar11_S5_L004_R2_001.fastq.gz,True
1,HepG2_rep2_rar11,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rar_celllines/batch2/igm-storage.ucsd.edu/20230922_LH00320_0040_A22F25LLT3/HepG2_rep2_rar11_S6_L004_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rar_celllines/batch2/igm-storage.ucsd.edu/20230922_LH00320_0040_A22F25LLT3/HepG2_rep2_rar11_S6_L004_R2_001.fastq.gz,True
2,K562_rep1_rar11,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rar_celllines/batch2/igm-storage.ucsd.edu/20230922_LH00320_0040_A22F25LLT3/K562_rep1_rar11_S3_L004_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rar_celllines/batch2/igm-storage.ucsd.edu/20230922_LH00320_0040_A22F25LLT3/K562_rep1_rar11_S3_L004_R2_001.fastq.gz,True
3,K562_rep2_rar11,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rar_celllines/batch2/igm-storage.ucsd.edu/20230922_LH00320_0040_A22F25LLT3/K562_rep2_rar11_S4_L004_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rar_celllines/batch2/igm-storage.ucsd.edu/20230922_LH00320_0040_A22F25LLT3/K562_rep2_rar11_S4_L004_R2_001.fastq.gz,True
4,HeLa_rep1_rar11,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rar_celllines/batch2/igm-storage.ucsd.edu/20230922_LH00320_0040_A22F25LLT3/HeLa_rep1_rar11_S1_L004_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rar_celllines/batch2/igm-storage.ucsd.edu/20230922_LH00320_0040_A22F25LLT3/HeLa_rep1_rar11_S1_L004_R2_001.fastq.gz,True
5,HeLa_rep2_rar11,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rar_celllines/batch2/igm-storage.ucsd.edu/20230922_LH00320_0040_A22F25LLT3/HeLa_rep2_rar11_S2_L004_R1_001.fastq.gz,/tscc/nfs/home/hsher/seqdata/tao/circRNA_seq/rar_celllines/batch2/igm-storage.ucsd.edu/20230922_LH00320_0040_A22F25LLT3/HeLa_rep2_rar11_S2_L004_R2_001.fastq.gz,True
1,HT_109_CO,/tscc/nfs/home/tayu/seqdata/tao/circRNA_seq/scaledown_HTT/igm-storage2.ucsd.edu/230213_A00953_0690_BHVCVKDSX5/HT_109_CO_S45_L004_R1_001.fastq.gz,/tscc/nfs/home/tayu/seqdata/tao/circRNA_seq/scaledown_HTT/igm-storage2.ucsd.edu/230213_A00953_0690_BHVCVKDSX5/HT_109_CO_S45_L004_R2_001.fastq.gz,True
2,HT_109_STO_1,/tscc/nfs/home/tayu/seqdata/tao/circRNA_seq/scaledown_HTT/igm-storage2.ucsd.edu/230213_A00953_0690_BHVCVKDSX5/HT_109_STO_1_S43_L004_R1_001.fastq.gz,/tscc/nfs/home/tayu/seqdata/tao/circRNA_seq/scaledown_HTT/igm-storage2.ucsd.edu/230213_A00953_0690_BHVCVKDSX5/HT_109_STO_1_S43_L004_R2_001.fastq.gz,True
3,HT_109_STO_2,/tscc/nfs/home/tayu/seqdata/tao/circRNA_seq/scaledown_HTT/igm-storage2.ucsd.edu/230213_A00953_0690_BHVCVKDSX5/HT_109_STO_2_S44_L004_R1_001.fastq.gz,/tscc/nfs/home/tayu/seqdata/tao/circRNA_seq/scaledown_HTT/igm-storage2.ucsd.edu/230213_A00953_0690_BHVCVKDSX5/HT_109_STO_2_S44_L004_R2_001.fastq.gz,True
4,CVB_STO,/tscc/nfs/home/tayu/seqdata/tao/circRNA_seq/scaledown_HTT/igm-storage2.ucsd.edu/230213_A00953_0690_BHVCVKDSX5/CVB_STO_S46_L004_R1_001.fastq.gz,/tscc/nfs/home/tayu/seqdata/tao/circRNA_seq/scaledown_HTT/igm-storage2.ucsd.edu/230213_A00953_0690_BHVCVKDSX5/CVB_STO_S46_L004_R2_001.fastq.gz,True
