,fastq1,fastq2,Sample,Rnase
0,/tscc/nfs/home/tayu/seqdata/tao/circRNA_seq/circapp/placentaEV/igm-storage.ucsd.edu/240607_LH00444_0125_A22CF2NLT4/3833_B3_S6_L008_R1_001.fastq.gz,/tscc/nfs/home/tayu/seqdata/tao/circRNA_seq/circapp/placentaEV/igm-storage.ucsd.edu/240607_LH00444_0125_A22CF2NLT4/3833_B3_S6_L008_R2_001.fastq.gz,3833_B3,True
1,/tscc/nfs/home/tayu/seqdata/tao/circRNA_seq/circapp/placentaEV/igm-storage.ucsd.edu/240607_LH00444_0125_A22CF2NLT4/3833_FT2_S2_L008_R1_001.fastq.gz,/tscc/nfs/home/tayu/seqdata/tao/circRNA_seq/circapp/placentaEV/igm-storage.ucsd.edu/240607_LH00444_0125_A22CF2NLT4/3833_FT2_S2_L008_R2_001.fastq.gz,3833_FT2,True
2,/tscc/nfs/home/tayu/seqdata/tao/circRNA_seq/circapp/placentaEV/igm-storage.ucsd.edu/240607_LH00444_0125_A22CF2NLT4/3889_S8_L008_R1_001.fastq.gz,/tscc/nfs/home/tayu/seqdata/tao/circRNA_seq/circapp/placentaEV/igm-storage.ucsd.edu/240607_LH00444_0125_A22CF2NLT4/3889_S8_L008_R2_001.fastq.gz,3889,True
3,/tscc/nfs/home/tayu/seqdata/tao/circRNA_seq/circapp/placentaEV/igm-storage.ucsd.edu/240607_LH00444_0125_A22CF2NLT4/3833_FT1_S1_L008_R1_001.fastq.gz,/tscc/nfs/home/tayu/seqdata/tao/circRNA_seq/circapp/placentaEV/igm-storage.ucsd.edu/240607_LH00444_0125_A22CF2NLT4/3833_FT1_S1_L008_R2_001.fastq.gz,3833_FT1,True
4,/tscc/nfs/home/tayu/seqdata/tao/circRNA_seq/circapp/placentaEV/igm-storage.ucsd.edu/240607_LH00444_0125_A22CF2NLT4/3833_B1_S4_L008_R1_001.fastq.gz,/tscc/nfs/home/tayu/seqdata/tao/circRNA_seq/circapp/placentaEV/igm-storage.ucsd.edu/240607_LH00444_0125_A22CF2NLT4/3833_B1_S4_L008_R2_001.fastq.gz,3833_B1,True
5,/tscc/nfs/home/tayu/seqdata/tao/circRNA_seq/circapp/placentaEV/igm-storage.ucsd.edu/240607_LH00444_0125_A22CF2NLT4/3833_B2_S5_L008_R1_001.fastq.gz,/tscc/nfs/home/tayu/seqdata/tao/circRNA_seq/circapp/placentaEV/igm-storage.ucsd.edu/240607_LH00444_0125_A22CF2NLT4/3833_B2_S5_L008_R2_001.fastq.gz,3833_B2,True
6,/tscc/nfs/home/tayu/seqdata/tao/circRNA_seq/circapp/placentaEV/igm-storage.ucsd.edu/240607_LH00444_0125_A22CF2NLT4/3807_S9_L008_R1_001.fastq.gz,/tscc/nfs/home/tayu/seqdata/tao/circRNA_seq/circapp/placentaEV/igm-storage.ucsd.edu/240607_LH00444_0125_A22CF2NLT4/3807_S9_L008_R2_001.fastq.gz,3807,True
7,/tscc/nfs/home/tayu/seqdata/tao/circRNA_seq/circapp/placentaEV/igm-storage.ucsd.edu/240607_LH00444_0125_A22CF2NLT4/3833_FT3_S3_L008_R1_001.fastq.gz,/tscc/nfs/home/tayu/seqdata/tao/circRNA_seq/circapp/placentaEV/igm-storage.ucsd.edu/240607_LH00444_0125_A22CF2NLT4/3833_FT3_S3_L008_R2_001.fastq.gz,3833_FT3,True
8,/tscc/nfs/home/tayu/seqdata/tao/circRNA_seq/circapp/placentaEV/igm-storage.ucsd.edu/240607_LH00444_0125_A22CF2NLT4/3904_S7_L008_R1_001.fastq.gz,/tscc/nfs/home/tayu/seqdata/tao/circRNA_seq/circapp/placentaEV/igm-storage.ucsd.edu/240607_LH00444_0125_A22CF2NLT4/3904_S7_L008_R2_001.fastq.gz,3904,True
0,/tscc/nfs/home/mgosztyl/seqdata/20240418_seq_results/igm-storage.ucsd.edu/240415_LH00444_0092_A227CY2LT4/FASTQ/K562EV_2_S71_L006_R1_001.fastq.gz,/tscc/nfs/home/mgosztyl/seqdata/20240418_seq_results/igm-storage.ucsd.edu/240415_LH00444_0092_A227CY2LT4/FASTQ/K562EV_2_S71_L006_R2_001.fastq.gz,K562EV_2,True
1,/tscc/nfs/home/mgosztyl/seqdata/20240418_seq_results/igm-storage.ucsd.edu/240415_LH00444_0092_A227CY2LT4/FASTQ/HEKEV_1_S66_L006_R1_001.fastq.gz,/tscc/nfs/home/mgosztyl/seqdata/20240418_seq_results/igm-storage.ucsd.edu/240415_LH00444_0092_A227CY2LT4/FASTQ/HEKEV_1_S66_L006_R2_001.fastq.gz,HEKEV_1,True
